Time,VehicleID,RSU_ID
308.0,v_2,RSU_3
309.0,v_0,RSU_2
309.0,v_1,RSU_7
309.0,v_2,RSU_3
310.0,v_0,RSU_2
310.0,v_1,RSU_7
310.0,v_2,RSU_3
311.0,v_0,RSU_2
311.0,v_1,RSU_7
311.0,v_2,RSU_3
312.0,v_0,RSU_2
312.0,v_1,RSU_7
312.0,v_2,RSU_3
313.0,v_0,RSU_2
313.0,v_1,RSU_7
313.0,v_2,RSU_3
314.0,v_0,RSU_2
314.0,v_1,RSU_7
314.0,v_2,RSU_3
315.0,v_0,RSU_2
315.0,v_1,RSU_7
315.0,v_2,RSU_3
316.0,v_0,RSU_2
316.0,v_1,RSU_7
316.0,v_2,RSU_3
317.0,v_0,RSU_2
317.0,v_1,RSU_7
317.0,v_2,RSU_3
318.0,v_0,RSU_2
318.0,v_1,RSU_7
318.0,v_2,RSU_3
319.0,v_0,RSU_2
319.0,v_1,RSU_7
319.0,v_2,RSU_3
320.0,v_0,RSU_2
320.0,v_1,RSU_7
320.0,v_2,RSU_3
321.0,v_0,RSU_2
321.0,v_1,RSU_7
321.0,v_2,RSU_3
322.0,v_0,RSU_2
322.0,v_1,RSU_7
322.0,v_2,RSU_3
323.0,v_0,RSU_2
323.0,v_1,RSU_7
323.0,v_2,RSU_3
324.0,v_0,RSU_2
324.0,v_1,RSU_7
324.0,v_2,RSU_3
325.0,v_0,RSU_2
325.0,v_1,RSU_7
325.0,v_2,RSU_3
326.0,v_0,RSU_2
326.0,v_1,RSU_7
326.0,v_2,RSU_3
327.0,v_0,RSU_2
327.0,v_1,RSU_7
327.0,v_2,RSU_3
328.0,v_0,RSU_2
328.0,v_1,RSU_7
328.0,v_2,RSU_3
329.0,v_0,RSU_2
329.0,v_1,RSU_7
329.0,v_2,RSU_3
330.0,v_0,RSU_2
330.0,v_1,RSU_7
330.0,v_2,RSU_3
331.0,v_0,RSU_2
331.0,v_1,RSU_7
331.0,v_2,RSU_3
332.0,v_0,RSU_2
332.0,v_1,RSU_7
332.0,v_2,RSU_3
333.0,v_0,RSU_2
333.0,v_1,RSU_7
333.0,v_2,RSU_3
334.0,v_0,RSU_2
334.0,v_1,RSU_7
334.0,v_2,RSU_3
335.0,v_0,RSU_2
335.0,v_1,RSU_7
335.0,v_2,RSU_3
336.0,v_0,RSU_2
336.0,v_1,RSU_7
336.0,v_2,RSU_3
337.0,v_0,
337.0,v_1,RSU_7
337.0,v_2,RSU_3
338.0,v_0,
338.0,v_1,RSU_7
338.0,v_2,RSU_3
339.0,v_0,
339.0,v_1,RSU_7
339.0,v_2,RSU_3
340.0,v_0,
340.0,v_1,RSU_7
340.0,v_2,RSU_3
341.0,v_0,
341.0,v_1,RSU_7
341.0,v_2,RSU_3
342.0,v_0,
342.0,v_1,RSU_7
342.0,v_2,RSU_3
343.0,v_0,
343.0,v_1,RSU_7
343.0,v_2,RSU_3
344.0,v_0,
344.0,v_1,RSU_7
344.0,v_2,RSU_3
345.0,v_0,
345.0,v_1,RSU_7
345.0,v_2,RSU_3
346.0,v_0,
346.0,v_1,RSU_7
346.0,v_2,RSU_3
347.0,v_0,
347.0,v_1,RSU_7
347.0,v_2,RSU_3
348.0,v_0,
348.0,v_1,
348.0,v_2,RSU_3
349.0,v_0,
349.0,v_1,
349.0,v_2,RSU_3
